Sequence,Average Precision,Average IoU
seq_1,17.34712212861298,0.6100261903225408
seq_2,11.885698621060198,0.7084003951831037
seq_3,27.079294951187094,0.6880794825515563
seq_4,19.310387778598923,0.41706986807334756
seq_5,19.472554858232584,0.7195691940014745
