Sequence,Method,Average Precision,Average IoU
seq_1,TM_CCOEFF,138.95225911838025,0.4504590161147
seq_1,TM_CCOEFF_NORMED,115.41229674098945,0.5014470200176464
seq_1,TM_CCORR_NORMED,193.42226875209238,0.474300425386303
seq_1,TM_SQDIFF,72.00841214991392,0.5426866066272594
seq_1,TM_SQDIFF_NORMED,161.14073335114136,0.4706375948152036
seq_2,TM_CCOEFF,79.42316533740001,0.3868981352558854
seq_2,TM_CCOEFF_NORMED,121.84000438536164,0.28357397472111
seq_2,TM_CCORR_NORMED,135.46304963275824,0.22632742588066354
seq_2,TM_SQDIFF,109.9291324752772,0.321687259880411
seq_2,TM_SQDIFF_NORMED,130.5790404988364,0.25220377659568755
seq_3,TM_CCOEFF,255.46190212640937,0.3847020606390659
seq_3,TM_CCOEFF_NORMED,239.83747098555068,0.33713397988231814
seq_3,TM_CCORR_NORMED,54.530011062791885,0.419095202845299
seq_3,TM_SQDIFF,133.60731985133984,0.34000094561378363
seq_3,TM_SQDIFF_NORMED,115.14320666271632,0.34596675684531214
seq_4,TM_CCOEFF,82.87839980567756,0.389899656091822
seq_4,TM_CCOEFF_NORMED,78.58773655239537,0.39827080902274425
seq_4,TM_CCORR_NORMED,253.75148683166105,0.1761781355646894
seq_4,TM_SQDIFF,392.0534924271661,0.15684710973484425
seq_4,TM_SQDIFF_NORMED,219.99683864832093,0.30830521855014814
seq_5,TM_CCOEFF,90.16597903976766,0.4455559778577753
seq_5,TM_CCOEFF_NORMED,156.37892775059245,0.28539479296160664
seq_5,TM_CCORR_NORMED,180.1071979802325,0.15389529397345295
seq_5,TM_SQDIFF,219.02766207898986,0.16294423210826367
seq_5,TM_SQDIFF_NORMED,207.93172828091264,0.16294423210826367
