173,294,121,190
172,294,121,190
171,296,121,190
170,297,121,190
169,296,121,190
170,296,121,190
170,296,121,190
169,296,121,190
169,296,121,190
169,295,121,190
169,294,121,190
171,295,121,190
170,295,121,190
170,295,121,190
171,296,121,190
172,294,121,190
172,293,121,190
174,292,121,190
175,291,121,190
177,289,121,190
181,288,121,190
182,288,121,190
181,289,121,190
182,290,121,190
181,290,121,190
182,290,121,190
180,290,121,190
180,292,121,190
180,291,121,190
180,292,121,190
181,292,121,190
181,292,121,190
181,292,121,190
181,293,121,190
183,292,121,190
184,294,121,190
189,294,121,190
193,298,121,190
197,299,121,190
205,298,121,190
178,297,121,190
177,300,121,190
175,304,121,190
177,310,121,190
180,315,121,190
183,320,121,190
183,323,121,190
283,290,121,190
292,289,121,190
300,289,121,190
315,286,121,190
335,282,121,190
344,282,121,190
352,281,121,190
366,276,121,190
374,277,121,190
380,272,121,190
384,272,121,190
393,273,121,190
403,273,121,190
335,144,121,190
335,150,121,190
445,279,121,190
453,278,121,190
461,276,121,190
470,273,121,190
329,173,121,190
328,177,121,190
326,181,121,190
323,186,121,190
319,190,121,190
313,195,121,190
308,201,121,190
302,207,121,190
295,212,121,190
288,216,121,190
281,221,121,190
274,226,121,190
264,231,121,190
256,236,121,190
247,242,121,190
238,247,121,190
230,253,121,190
222,259,121,190
211,264,121,190
201,269,121,190
190,274,121,190
182,280,121,190
175,285,121,190
165,290,121,190
165,290,121,190
151,294,121,190
142,300,121,190
134,305,121,190
128,310,121,190
121,314,121,190
114,318,121,190
106,320,121,190
90,313,121,190
84,317,121,190
173,294,121,190
172,294,121,190
171,296,121,190
170,297,121,190
169,296,121,190
170,296,121,190
170,296,121,190
169,296,121,190
169,296,121,190
169,295,121,190
169,294,121,190
171,295,121,190
170,295,121,190
170,295,121,190
171,296,121,190
172,294,121,190
172,293,121,190
174,292,121,190
175,291,121,190
177,289,121,190
181,288,121,190
182,288,121,190
181,289,121,190
182,290,121,190
181,290,121,190
182,290,121,190
180,290,121,190
180,292,121,190
180,291,121,190
180,292,121,190
181,292,121,190
181,292,121,190
181,292,121,190
181,293,121,190
183,292,121,190
184,294,121,190
189,294,121,190
193,298,121,190
197,299,121,190
205,298,121,190
178,297,121,190
177,300,121,190
175,304,121,190
177,310,121,190
180,315,121,190
183,320,121,190
183,323,121,190
283,290,121,190
292,289,121,190
300,289,121,190
315,286,121,190
335,282,121,190
344,282,121,190
352,281,121,190
366,276,121,190
374,277,121,190
380,272,121,190
384,272,121,190
393,273,121,190
403,273,121,190
335,144,121,190
335,150,121,190
445,279,121,190
453,278,121,190
461,276,121,190
470,273,121,190
329,173,121,190
328,177,121,190
326,181,121,190
323,186,121,190
319,190,121,190
313,195,121,190
308,201,121,190
302,207,121,190
295,212,121,190
288,216,121,190
281,221,121,190
274,226,121,190
264,231,121,190
256,236,121,190
247,242,121,190
238,247,121,190
230,253,121,190
222,259,121,190
211,264,121,190
201,269,121,190
190,274,121,190
182,280,121,190
175,285,121,190
165,290,121,190
165,290,121,190
151,294,121,190
142,300,121,190
134,305,121,190
128,310,121,190
121,314,121,190
114,318,121,190
106,320,121,190
90,313,121,190
84,317,121,190
